,pretty_comp,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
513,PbCl,-1.05620238732,-3.34030317731,-105.773645813,-31.2111907532,-1527.27343444,510.639346674,-70353.162423,-2106.09760045,-226570.530924,-40098.1486894,-64568.6991736,-208.010140815,-111217.021809,-32.3660509526,-178230.878322,-15.2351209938,-24338.6349275,-0.979636131281,-11336.7098233,-4.90421954816,-3646.55406369,-839.722486884,-821.1491134,-0.285327017593,-252.610251536,-0.0243076915974,-41.4874744342,-6.35506180924,-3.8271111701,2.34864515491,-2.43129882276,1.36216995997
514,LaPd,1.3769781133,-2.60259386789,-76.4368215439,-24.1693968311,-1516.30143902,497.588324386,-70300.1385216,-2112.36667325,-226334.713202,-40296.9420194,-64533.6873718,-208.002430616,-111156.716875,-32.3650546871,-178130.71352,-15.2345356017,-24324.9567125,-0.97959848851,-11330.3389873,-4.90405005141,-3643.75862173,-839.687086963,-820.690670474,-0.285316156838,-252.469219946,-0.0810794821254,-41.367138507,-6.35382695012,-3.73078017111,1.80095141685,-1.88884031326,0.879683413819
515,HoSi,1.56576902,-2.14518881828,-61.4953951375,-12.0106603997,-1517.23253854,497.77130526,-70298.0512891,-2111.49029276,-226337.439014,-40293.0751965,-64532.9856582,-208.002276086,-111155.508231,-32.3650340402,-178118.026325,-15.2344614541,-24323.2241857,-0.979593720555,-11329.5320363,-4.90402866918,-3649.04414581,-837.259830635,-820.645512743,-0.285315087028,-252.455328144,-0.0810791781351,-41.3643212271,-6.3537900985,-3.80337007159,1.7603058752,-1.86233726977,0.856110436921
516,HoI,2.38558511316,-2.70434413411,-79.1748228916,-53.8290061827,-1496.44666546,477.071120251,-70257.5052615,-2115.76166269,-226289.027953,-40240.8761689,-64511.4716283,-207.997538328,-111118.452093,-32.3644222336,-178068.63245,-15.234172782,-24316.479101,-0.979575157922,-11326.3904103,-4.903945084,-3642.00598328,-839.664892525,-820.403243824,-0.285309347549,-252.380799274,-0.0810775472987,-41.3486231202,-6.35359495054,-3.80714459814,1.55386809562,-1.70326746313,0.714626728475
517,ScGe,0.587997066066,-2.323864339,-44.9509569519,5.66023291401,-1515.2560666,496.815024473,-70307.6459016,-2112.55003524,-226364.086246,-40292.0123861,-64540.6120046,-208.003955539,-111168.643983,-32.3652514759,-178152.229831,-15.2346613493,-24327.8949182,-0.979606574522,-11331.707501,-4.90408651874,-3644.34674716,-839.694534656,-820.787121041,-0.285318441803,-252.498891052,-0.0750529399693,-41.3726270496,-6.35401500815,-3.82403623485,2.09505562159,-1.96338469996,0.945986482246
518,ErSi,1.67525683689,-2.05906408762,-63.8397093567,-14.1497500271,-1517.59151188,498.431846734,-70303.0388212,-2111.32845029,-226345.784101,-40294.1548577,-64535.9309401,-208.002924688,-111160.581236,-32.3651179685,-178145.588199,-15.2346225336,-24326.9879549,-0.979604078537,-11331.2850691,-4.90407524294,-3649.03949541,-837.625041275,-820.776273115,-0.28531818481,-252.495553874,-0.0765736293543,-41.3797706102,-6.35396766981,-3.80820064994,1.89678967453,-1.98190419661,0.962458540144
519,GdSi,1.58008367108,-2.43751376661,-65.4026418699,-16.1010884382,-1517.06181395,497.957994879,-70296.6203048,-2111.86601071,-226323.117835,-40298.8880522,-64530.9537903,-208.001828634,-111152.008507,-32.3649765141,-178125.919575,-15.2345075845,-24324.3020647,-0.979596686904,-11330.0340751,-4.90404197739,-3643.62158265,-839.685351576,-820.668196543,-0.285315624419,-252.462306308,-0.0810793308055,-41.3657364093,-6.35380860991,-3.76690654445,1.78072311154,-1.87565064641,0.867951941841
520,SiRh,-2.98258986504,-1.25215382997,-66.6343654382,14.6739496425,-1506.37157115,492.560368049,-70274.5741336,-2121.0272362,-226277.8638,-40306.4930404,-64532.5902928,-208.00576784,-111154.76059,-24.1461637585,-178131.69379,-15.2345413307,-24325.090576,-0.979598856905,-11330.4013361,-4.90405170361,-3643.77377297,-839.68727883,-820.693155272,-0.285316215704,-252.469984325,-0.0810794988267,-41.4230957878,-6.17360266669,-3.82476349892,2.02518202064,-1.93546148239,0.921150339822
521,EuGe,1.55229148981,-2.84225737289,-63.1097183806,1.6578209953,-1518.98232241,500.823096535,-70311.8482764,-2110.6863403,-226369.473449,-40289.6857976,-64541.3211454,-208.004111703,-111169.865419,-32.3652716434,-178150.194843,-15.2346494562,-24327.6170252,-0.979605809753,-11331.5780679,-4.90408305231,-3644.29439753,-839.693871729,-820.778535886,-0.285318238416,-252.496249985,-0.0762564295322,-41.3800184539,-6.35397899996,-3.81556885762,1.87707866829,-1.9829016956,0.963345759785
522,LaAu,1.59735662044,-2.79992854279,-66.3951994697,-10.7020188683,-1518.41158305,499.378895837,-70306.1827877,-2110.87671667,-226358.786622,-40290.4968591,-64538.4143461,-208.003471576,-111164.858697,-32.36518898,-178149.948505,-15.2346480165,-24327.5833853,-0.979605717175,-11331.5623995,-4.90408266332,-3644.28275506,-839.693724296,-820.776626571,-0.285318193183,-252.495662618,-0.0765240830212,-41.3797381238,-6.35406436229,-3.82484141023,2.10159551798,-1.95999121265,0.942968164819
523,TaS,-1.61093084677,1.64694940275,-68.3261926991,-3.93430255583,-1516.10562331,497.037219633,-70301.4015164,-2112.15031449,-226346.666742,-40294.1516985,-64536.1961913,-208.002983101,-111161.038109,-32.3651255537,-178149.547321,-15.2346456719,-24327.5286024,-0.979605566412,-11331.5368837,-4.90408197989,-3644.28528019,-839.693756272,-820.777040704,-0.285318202994,-252.495790012,-0.0764660288069,-41.3798579172,-6.35406553183,-3.82485015333,2.10195489815,-1.96026955966,0.943215738939
524,TbSb,1.19172286292,-2.68514795238,-37.8703067928,0.34375310683,-1511.45837222,491.712457774,-70282.5021748,-2114.8308906,-226291.484754,-40304.1969842,-64523.4963625,-208.000186381,-111139.163704,-32.3647643747,-178103.207889,-15.2343748509,-24321.2006243,-0.979588151666,-11328.5895325,-4.90400355009,-3642.95811397,-839.676949778,-820.559389992,-0.285313046734,-252.428834307,-0.0810785983897,-41.3589482965,-6.35371981727,-3.81130605049,1.68669632784,-1.80283073141,0.803182694683
525,CaAu,1.20163886069,-2.45539663652,-65.5121258406,-7.99909585133,-1516.81313833,498.037781906,-70306.4371136,-2111.76947703,-226358.455402,-40292.9574021,-64539.2845472,-208.00366321,-111166.357547,-32.3652138965,-178152.160023,-15.2346609413,-24327.8853853,-0.979606548287,-11331.7030612,-4.90408634187,-3644.34832918,-839.69455469,-820.7873805,-0.28531844795,-252.498970866,-0.0750165664707,-41.4232837289,-6.21481950119,-3.83515944669,2.06804363636,-1.96946780858,0.951397067603
526,HfSi,-0.377679643955,0.311018343141,-36.9054869633,11.9211767652,-1514.12431872,495.381087202,-70301.7389588,-2113.20501517,-226345.255551,-40295.1727131,-64536.172708,-208.002977929,-111160.997661,-32.3651248371,-178137.542026,-15.2345755095,-24325.8891943,-0.979601054722,-11330.7733043,-4.90406166468,-3649.05777684,-837.110336377,-820.706336661,-0.285316527978,-252.474039306,-0.0810795875616,-41.3679296389,-6.35384837851,-3.8141954096,1.80073156235,-1.91961454363,0.907055372896
